Plant ID,Plant Name,Family,Watering Frequency,Min Ideal Temperature in Celicius,Max Ideal Temperature in Celicius,Sunlight,Air temperature in Celicius
1529084,Sedum allantoides Rose,Crassulaceae,,,,,0
1529107,Sedum burrito Moran,Crassulaceae,Every 3 weeks,20,38,Full sun,27
1529124,Sedum clavatum R.T. Clausen,Crassulaceae,Every 2-3 weeks,20,38,Full sun,29
1529128,Sedum compressum Rose,Crassulaceae,,,,,0
1529144,Sedum cyaneum J. Rudolph,Crassulaceae,,,,,0
1529148,Sedum decumbens R.T. Clausen,Crassulaceae,,,,,0
1529179,Sedum furfuraceum Moran,Crassulaceae,,,,,0
1529205,Sedum hernandezii J. MeyrÃ¡n,Crassulaceae,Every 2-3 weeks,20,38,Full sun,30
1529212,Sedum japonicum Siebold ex Miq.,Crassulaceae,Every 3 weeks,20,38,Full sun,24
1529242,Sedum makinoi Maxim.,Crassulaceae,Every week,10,35,Full sun,10
1529265,Sedum nussbaumerianum Bitter,Crassulaceae,Every 3 weeks,20,38,Full sun,37
1529305,Sedum praealtum A.DC.,Crassulaceae,Every 3 weeks,20,38,Full sun,20
1529328,Sedum rubrotinctum R.T. Clausen,Crassulaceae,,,,,0
1535203,Uncinia rubra Colenso ex Boott,Cyperaceae,,,,,0
1538569,Empetrum rubrum Vahl ex Willd.,Ericaceae,Every week,0,32,Full sun,25
1542499,Acalypha macrostachya Jacq.,Euphorbiaceae,,,,,0
1550658,Pelargonium echinatum Curtis,Geraniaceae,,,,,0
1550692,Pelargonium Ã— hortorum L.H. Bailey,Geraniaceae,Every week,15,38,Full sun,21
1550785,Pelargonium sidoides DC.,Geraniaceae,Every 3 weeks,20,38,Full sun,20
1550799,Pelargonium tomentosum Jacq.,Geraniaceae,Every 3 weeks,15,38,Partial sun,26
1560405,Lavandula canariensis (L.) Mill.,Lamiaceae,,,,,0
1567995,Acacia auriculiformis Benth.,Fabaceae,Every 2 weeks,20,38,Full sun,32
1568056,Acacia brevispica Harms,Fabaceae,,,,,0
1568102,Acacia caven (Molina) Molina,Fabaceae,,,,,0
1568134,Acacia cognata Domin,Fabaceae,,,,,0
1568144,Acacia confluens Maiden & Blakeley,Fabaceae,,,,,0
1568799,Acacia podalyriifolia G.Don,Fabaceae,Every 2 weeks,5,32,Full sun,25
1568914,Acacia saligna (Labill.) Wendl.,Fabaceae,Every 2 weeks,15,38,Full sun,20
1576296,Dalbergia retusa Hemsl.,Fabaceae,,,,,0
1580985,Lupinus nootkatensis Sims,Fabaceae,Every week,5,32,Full sun,30
1584568,Prosopis pallida (Willd.) Kunth,Fabaceae,Every week,15,35,Full sun,23
1600531,Cedrela fissilis Vell.,Meliaceae,,,,,0
1608001,Nepenthes mirabilis (Lour.) Druce,Nepenthaceae,Twice per week,20,38,Partial sun,21
1608003,Nepenthes Ã— neglecta Macfarl.,Nepenthaceae,,,,,0
1608023,Nothofagus betuloides (Mirb.) Oerst.,Nothofagaceae,,,,,0
1608027,Nothofagus dombeyi (Mirb.) Oerst.,Nothofagaceae,Every week,15,32,Full sun,23
1608034,Nothofagus nitida (Phil.) Krasser,Nothofagaceae,,,,,0
1608440,Nymphaea rubra Roxb. ex Andrews,Nymphaeaceae,,,,,0
1617292,Dendrobium anosmum Lindl.,Orchidaceae,,,,,0
1617904,Dendrobium kingianum Bidwill ex Lindl.,Orchidaceae,Every week,20,41,Partial sun,28
1618100,Dendrobium munificum (Finet) Schltr.,Orchidaceae,,,,,0
1618570,Dendrobium thyrsiflorum B.S.Williams,Orchidaceae,,,,,0
1618661,Dendrobium victoriae-reginae Loher,Orchidaceae,,,,,0
1621823,Erycina pusilla (L.) N.H.Williams & M.W.Chase,Orchidaceae,,,,,0
1638998,Adlumia fungosa (Aiton) Britton - Sterns & Poggenb.,Papaveraceae,Every week,20,35,Full sun,25
1643184,Peperomia albovittata C. DC.,Piperaceae,,,,,0
1643341,Peperomia clusiifolia (Jacq.) Hook.,Piperaceae,,,,,0
1643349,Peperomia columella Rauh & Hutchison,Piperaceae,,,,,0
1643491,Peperomia ferreyrae Yunck.,Piperaceae,Every week,20,38,Partial sun,30
1643553,Peperomia graveolens Rauh & Barthlott,Piperaceae,Twice per week,20,38,Full sun,35
1643690,Peperomia maculosa (L.) Hook.,Piperaceae,,,,,0
1643819,Peperomia pecuniifolia Trel. & Standl.,Piperaceae,,,,,0
1643866,Peperomia polybotrya Kunth,Piperaceae,Every week,20,41,Partial sun,40
1643887,Peperomia prostrata B.S. Williams,Piperaceae,,,,,0
1644145,Peperomia tetragona Ruiz & Pav.,Piperaceae,Twice per week,20,38,Full sun,31
1644223,Peperomia verticillata (L.) A.Dietr.,Piperaceae,,,,,0
1646149,Hebe andersonii (Lindl. & J. Paxton) Cockayne,Plantaginaceae,,,,,0
1662426,Lomatia ferruginea R. Br.,Proteaceae,Every week,,,,0
1663341,Anemone pavoniana Boiss.,Ranunculaceae,,,,,0
1663381,Anemone tomentosa (Maxim.) C.Pei,Ranunculaceae,Every week,15,38,Full sun,37
1664348,Hepatica nobilis Mill.,Ranunculaceae,Every week,5,32,Partial sun,15
1667445,Fragaria Ã— ananassa (Duchesne ex Weston) Duchesne ex Rozier,Rosaceae,Every week,5,35,Full sun,16
1675513,Margaritopsis haematocarpa (Standl.) C.M.Taylor,Rubiaceae,,,,,0
1682159,Angostura granulosa (Kallunki) Kallunki,Rutaceae,,,,,0
1689963,Smilax excelsa L.,Smilacaceae,Twice per week,5,38,Partial sun,10
1694631,Coussapoa villosa Poepp. & Endl.,Urticaceae,,,,,0
1697960,Cyphostemma cyphopetalum (Fresen.) Desc. ex Wild & R.B.Drumm.,Vitaceae,,,,,0
1697991,Cyphostemma juttae (Dinter & Gilg) Desc.,Vitaceae,Every 3 weeks,20,38,Full sun,33
1698065,Cyphostemma serpens (Hochst. ex A.Rich.) Desc.,Vitaceae,,,,,0
1711751,Nepenthes alata Blanco,Nepenthaceae,,,,,0
1711753,Nepenthes truncata Macfarl.,Nepenthaceae,,,,,0
1711775,Lavandula spp.,Lamiaceae,,,,,0
1711787,Cymbalaria muralis P.Gaertn.,Plantaginaceae,Twice per week,20,38,Partial sun,25
1711873,Aphelandra aurantiaca Lindl.,Acanthaceae,Every week,20,38,Partial sun,36
1712003,Guatteria dolichopoda Donn. Sm.,Annonaceae,,,,,0
1712019,Stenanona costaricensis R.E. Fr.,Annonaceae,,,,,0
1712365,Schefflera morototoni (Aubl.) Maguire,Araliaceae,Every 1-2 weeks,20,38,Partial sun,22
1713198,Bourreria andrieuxii (DC.) Hemsl.,Boraginaceae,,,,,0
1713199,Bourreria costaricensis (Standl.) A.H. Gentry,Boraginaceae,,,,,0
1717570,Alibertia edulis (Rich.) A. Rich.,Rubiaceae,,,,,0
1718287,Acacia senegalensis (Houtt.) Roberty,Fabaceae,,,,,0
1355868,Lactuca virosa L.,Asteraceae,More often than Every week,20,35,Full sun,53
1355920,Pelargonium capitatum (L.) L'HÃ©r.,Geraniaceae,More often than Every week,15,38,Full sun,45
1355932,Pelargonium graveolens L'HÃ©r.,Geraniaceae,More often than Every 1-2 weeks,20,38,Full sun,47
1355936,Cirsium arvense (L.) Scop.,Asteraceae,More often than Every week,0,35,Full sun,48
1355937,Cirsium vulgare (Savi) Ten.,Asteraceae,More often than Every week,20,35,Full sun,45
1355955,Pelargonium odoratissimum (L.) L'HÃ©r.,Geraniaceae,,,,,23
1355959,Pelargonium peltatum (L.) L'HÃ©r.,Geraniaceae,More often than Every week,20,38,Full sun,50
1355961,Pelargonium quercifolium (L. f.) L'HÃ©r.,Geraniaceae,More often than Every week,15,38,Full sun,43
1355978,Pelargonium zonale (L.) L'HÃ©r.,Geraniaceae,More often than Every week,20,38,Full sun,53
1355990,Mercurialis annua L.,Euphorbiaceae,More often than Every week,20,38,Full sun,56
1356003,Phyllanthus tenellus Roxb.,Euphorbiaceae,More often than Every week,20,38,Full sun,39
1356022,Hypericum perforatum L.,Hypericaceae,More often than Every week,5,35,Full sun,57
1356037,Egeria densa Planch.,Hydrocharitaceae,More often than Every week,5,38,Full sun,47
1356055,Ibicella lutea (Lindl.) Van Eselt.,Bignoniaceae,More often than Every week,,,Full sun,23
1356075,Tradescantia fluminensis Vell.,Commelinaceae,More often than Every week,20,38,Partial sun,44
1356076,Tradescantia zebrina Heynh. ex Bosse,Commelinaceae,More often than Every week,20,38,Partial sun,45
1356111,Lamium amplexicaule L.,Lamiaceae,More often than Every week,20,35,Partial sun,42
1356126,Lavandula dentata L.,Lamiaceae,More often than Every week,15,35,Full sun,43
1356138,Striga asiatica (L.) Kuntze,Orobanchaceae,More often than Every week,20,35,Full sun,44
1356257,Melilotus albus Medik.,Fabaceae,More often than Every week,20,38,Full sun,39
1356278,Trifolium fragiferum L.,Fabaceae,More often than Every week,10,25,Partial sun,59
1356279,Asystasia gangetica (L.) T. Anderson,Acanthaceae,More often than Every week,20,38,Full sun,55
1356309,Nymphaea nouchali Burm. f.,Nymphaeaceae,More often than Every week,5,35,Full sun,57
1356379,Dryopteris aemula (Aiton) Kuntze,Dryopteridaceae,More often than Twice per week,20,38,Full shade,52
1356380,Dryopteris affinis (1 time per week or lesse) Fraser-Jenk.,Dryopteridaceae,More often than Twice per week,20,38,Partial sun,59
1356382,Dryopteris filix-mas (L.) Schott,Dryopteridaceae,More often than Twice per week,5,32,Partial sun,33
1356420,Nephrolepis cordifolia (L.) C. Presl,Nephrolepidaceae,More often than Every week,20,38,Partial sun,50
1356421,Nephrolepis exaltata (L.) Schott,Nephrolepidaceae,More often than Twice per week,20,38,Partial sun,49
1356428,Osmunda regalis L.,Osmundaceae,More often than Every week,0,35,Partial sun,58
1356469,Achyranthes aspera L.,Amaranthaceae,More often than Every week,20,35,Full sun,40
1356692,Lithodora fruticosa (L.) Griseb.,Boraginaceae,More often than Every 2-3 weeks,,,Full sun,5
1356781,Humulus lupulus L.,Cannabaceae,More often than Twice per week,0,35,Full sun,37
1356816,Vaccaria hispanica (Mill.) Rauschert,Caryophyllaceae,More often than Every week,20,35,Full sun,47
1356847,Spergularia rubra (L.) J. Presl & C. Presl,Caryophyllaceae,More often than Every week,20,35,Full sun,51
1356901,Moehringia trinervia (L.) Clairv.,Caryophyllaceae,More often than Every week,20,35,Full sun,36
1357330,Calendula officinalis L.,Asteraceae,More often than Twice per week,20,38,Full sun,52
1357331,Calendula stellata Cav.,Asteraceae,,,,,50
1357367,Carthamus caeruleus L.,Asteraceae,,,,,13
1357379,Carthamus lanatus L.,Asteraceae,More often than Every week,20,35,Full sun,42
1357506,Cirsium monspessulanum (L.) Hill,Asteraceae,More often than Every week,15,35,Full sun,45
1357635,Helminthotheca echioides (L.) Holub,Asteraceae,More often than Every week,20,35,Full sun,51
1357652,Hyoseris radiata L.,Asteraceae,More often than Every week,15,35,Full sun,38
1357677,Lactuca muralis (L.) Gaertn.,Asteraceae,More often than Every week,15,32,Partial sun,35
1357681,Lactuca saligna L.,Asteraceae,More often than Every week,20,35,Full sun,35
1357682,Lactuca tenerrima Pourr.,Asteraceae,,,,,54
1357705,Limbarda crithmoides (L.) Dumort.,Asteraceae,More often than Every week,15,35,Full sun,57
1358094,Sedum acre L.,Crassulaceae,More often than Every 2-3 weeks,0,32,Full sun,59
1358095,Sedum album L.,Crassulaceae,More often than Every 2-3 weeks,20,35,Full sun,53
1358096,Sedum amplexicaule DC.,Crassulaceae,,,,,45
1358097,Sedum andegavense (DC.) Desv.,Crassulaceae,,,,,58
1358099,Sedum brevifolium DC.,Crassulaceae,More often than Every 2 weeks,20,38,Full sun,50
1358101,Sedum caeruleum L.,Crassulaceae,More often than Every 3 weeks,15,35,Full sun,40
1358102,Sedum caespitosum (Cav.) DC.,Crassulaceae,More often than Every 3 weeks,5,35,Full sun,39
1358103,Sedum cepaea L.,Crassulaceae,More often than Every 3 weeks,15,32,Full sun,50
1358105,Sedum dasyphyllum L.,Crassulaceae,More often than Every 2 weeks,15,35,Full sun,45
1358108,Sedum forsterianum Sm.,Crassulaceae,,,,,49
1358112,Sedum hirsutum All.,Crassulaceae,More often than Every 2-3 weeks,20,38,Full sun,42
1358119,Sedum litoreum Guss.,Crassulaceae,More often than Every 3 weeks,20,38,Full sun,48
1358127,Sedum multiceps Coss. & Durieu,Crassulaceae,More often than Every 2 weeks,15,35,Full sun,49
1358132,Sedum rubens L.,Crassulaceae,More often than Every 2-3 weeks,15,38,Full sun,40
1358133,Sedum sediforme (Jacq.) Pau,Crassulaceae,,,,,14
1358150,Alliaria petiolata (M. Bieb.) Cavara & Grande,Brassicaceae,More often than Every week,20,35,Partial sun,40
1358193,Boscia angustifolia A. Rich.,Zygophyllaceae,,,,,20
1358302,Fibigia clypeata (L.) Medik.,Zygophyllaceae,More often than Every week,20,35,Full sun,58
1358365,Maerua angolensis DC.,Zygophyllaceae,More often than Every 2-3 weeks,20,35,Full sun,49
1358519,Acalypha virginica L.,Euphorbiaceae,More often than Every week,20,38,Partial sun,55
1358605,Mercurialis perennis L.,Euphorbiaceae,More often than Every week,5,32,Partial sun,36
1358608,Phyllanthus reticulatus Poir.,Euphorbiaceae,More often than Every 2-3 weeks,15,38,Full sun,39
1358689,Hypericum androsaemum L.,Hypericaceae,More often than Every 1-2 weeks,5,35,Full sun,43
1358690,Hypericum australe Ten.,Hypericaceae,,,,,15
1358691,Hypericum canariense L.,Hypericaceae,More often than Every 2-3 weeks,20,35,Full sun,44
1358695,Hypericum empetrifolium Willd.,Hypericaceae,,,,,59
1358699,Hypericum hircinum L.,Hypericaceae,More often than Every 2-3 weeks,5,35,Full sun,51
1358700,Hypericum hirsutum L.,Hypericaceae,More often than Every week,15,35,Full sun,39
1358701,Hypericum humifusum L.,Hypericaceae,More often than Every week,10,35,Full sun,54
1358703,Hypericum linariifolium Vahl,Hypericaceae,,,,,53
1358704,Hypericum montanum L.,Hypericaceae,More often than Every week,20,38,Full sun,58
1358706,Hypericum perfoliatum L.,Hypericaceae,More often than Every week,10,35,Full sun,38
1358710,Hypericum tetrapterum Fr.,Hypericaceae,More often than Every week,10,35,Full sun,52
1358711,Hypericum tomentosum L.,Hypericaceae,,,,,6
1358748,Lamium bifidum Cirillo,Lamiaceae,,,,,40
1358749,Lamium flexuosum Ten.,Lamiaceae,,,,,18
1358750,Lamium garganicum L.,Lamiaceae,,,,,49
1358751,Lamium hybridum Vill.,Lamiaceae,,,,,48
1358752,Lamium purpureum L.,Lamiaceae,More often than Every week,20,35,Partial sun,49
1358755,Lavandula canariensis Mill.,Lamiaceae,,,,,52
1358759,Lavandula minutolii Bolle,Lamiaceae,,,,,14
1358760,Lavandula multifida L.,Lamiaceae,More often than Every week,20,35,Full sun,38
1358766,Lavandula stoechas L.,Lamiaceae,More often than Every week,5,35,Full sun,43
1359060,Acacia mellifera (Vahl) Benth.,Fabaceae,,,,,33
1359064,Acacia seyal Delile,Fabaceae,,,,,6
1359065,Acacia tortilis (Forssk.) Hayne,Fabaceae,,,,,21
1359197,Galega officinalis L.,Fabaceae,More often than Every 2 weeks,20,35,Full sun,40
1359331,Lupinus cosentinii Guss.,Fabaceae,,,,,2
1359332,Lupinus micranthus Guss.,Fabaceae,More often than Every week,20,35,Full sun,54
1359359,Melilotus italicus (L.) Lam.,Fabaceae,,,,,36
1359364,Melilotus sulcatus Desf.,Fabaceae,More often than Every week,,,Full sun,47
1359483,Trifolium angustifolium L.,Fabaceae,More often than Every week,20,38,Full sun,57
1359485,Trifolium arvense L.,Fabaceae,More often than Every week,20,38,Full sun,42
1359486,Trifolium aureum Pollich,Fabaceae,More often than Every week,20,35,Full sun,50
1359488,Trifolium campestre Schreb.,Fabaceae,More often than Every week,20,35,Full sun,48
1359489,Trifolium cherleri L.,Fabaceae,,,,,41
1359495,Trifolium hirtum All.,Fabaceae,More often than Every week,20,35,Full sun,49
1359497,Trifolium hybridum L.,Fabaceae,More often than Every week,20,35,Full sun,36
1359498,Trifolium incarnatum L.,Fabaceae,More often than Every week,20,35,Full sun,44
1359502,Trifolium lappaceum L.,Fabaceae,More often than Every week,20,35,Full sun,55
1359505,Trifolium michelianum Savi,Fabaceae,,,,,33
1359506,Trifolium micranthum Viv.,Fabaceae,More often than Every week,20,38,Full sun,44
1359508,Trifolium montanum L.,Fabaceae,More often than Every week,5,25,Full sun,39
1359510,Trifolium ochroleucon Huds.,Fabaceae,More often than Every week,5,35,Full sun,53
1359513,Trifolium pannonicum Jacq.,Fabaceae,,,,,14
1359514,Trifolium patens Schreb.,Fabaceae,,,,,53
1359517,Trifolium pratense L.,Fabaceae,,,,,39
1359518,Trifolium purpureum Loisel.,Fabaceae,,,,,21
1359519,Trifolium resupinatum L.,Fabaceae,More often than Every week,20,35,Full sun,46
1359521,Trifolium scabrum L.,Fabaceae,More often than Twice per week,20,38,Full sun,40
1359523,Trifolium spumosum L.,Fabaceae,More often than Twice per week,20,38,Full sun,55
1359524,Trifolium squamosum L.,Fabaceae,More often than Every week,20,38,Full sun,43
1359525,Trifolium stellatum L.,Fabaceae,More often than Every week,20,38,Full sun,54
1359526,Trifolium striatum L.,Fabaceae,More often than Every week,20,38,Full sun,41
1359528,Trifolium subterraneum L.,Fabaceae,More often than Every week,20,35,Full sun,50
1359530,Trifolium tomentosum L.,Fabaceae,More often than Every week,20,38,Full sun,50
1359616,Punica granatum L.,Lythraceae,More often than Every 1-2 weeks,5,38,Full sun,47
1359620,Alcea rosea L.,Malvaceae,More often than Every week,0,35,Full sun,43
1359622,Althaea cannabina L.,Malvaceae,More often than Every week,5,32,Full sun,45
1359625,Althaea officinalis L.,Malvaceae,More often than Every week,0,32,Full sun,48
1359669,Nymphaea alba L.,Nymphaeaceae,More often than Every week,5,35,Full sun,47
1359806,Hunnemannia fumariifolia Sweet,Papaveraceae,More often than Every week,20,38,Full sun,59
1359815,Papaver atlanticum (Ball) Coss.,Papaveraceae,More often than Every week,20,35,Full sun,53
1359821,Papaver rupifragum Boiss. & Reut.,Papaveraceae,More often than Every week,20,35,Full sun,48
1360004,Goniolimon tataricum (L.) Boiss.,Plumbaginaceae,More often than Every week,,,Full sun,35
1360147,Adonis aestivalis L.,Ranunculaceae,More often than Every week,20,35,Full sun,37
1360148,Adonis annua L.,Ranunculaceae,More often than Every week,20,35,Full sun,56
1360150,Adonis flammea Jacq.,Ranunculaceae,More often than Twice per week,0,32,Full sun,39
1360152,Adonis microcarpa DC.,Ranunculaceae,More often than Every week,15,38,Full sun,53
1360153,Anemone coronaria L.,Ranunculaceae,More often than Every week,15,35,Full sun,45
1360154,Anemone palmata L.,Ranunculaceae,More often than Every week,10,35,Full sun,35
1360427,Oldenlandia corymbosa L.,Rubiaceae,More often than Every week,20,38,Full sun,45
1360550,Hyoscyamus albus L.,Solanaceae,More often than Every week,20,35,Full sun,45
1360555,Hyoscyamus niger L.,Solanaceae,More often than Every week,20,35,Full sun,46
1360588,Daphne gnidium L.,Thymelaeaceae,More often than Every 2-3 weeks,15,35,Full sun,38
1360590,Daphne laureola L.,Thymelaeaceae,More often than Every 1-2 weeks,10,35,Partial sun,52
1360591,Daphne oleoides Schreb.,Thymelaeaceae,More often than Twice per week,15,35,Full sun,49
1360618,Berula erecta (Huds.) Coville,Apiaceae,More often than Every week,0,32,Full sun,50
1360671,Chaerophyllum temulum L.,Apiaceae,More often than Every week,20,35,Full sun,46
1360687,Daucus muricatus (L.) L.,Apiaceae,,,,,27
1360759,Meum athamanticum Jacq.,Apiaceae,More often than Every week,10,35,Full sun,40
1360808,Thapsia garganica L.,Apiaceae,,,,,38
1360811,Thapsia villosa L.,Apiaceae,More often than Every week,15,35,Full sun,48
1360835,Centranthus calcitrapae (L.) Dufr.,Caprifoliaceae,,,,,47
1360838,Fedia cornucopiae (L.) Gaertn.,Caprifoliaceae,,,,,19
1360976,Pancratium canariense Ker Gawl.,Amaryllidaceae,,,,,16
1360978,Pancratium maritimum L.,Amaryllidaceae,More often than Every week,15,35,Full sun,56
1360998,Anthericum liliago L.,Asparagaceae,More often than Every week,5,35,Full sun,44
1361024,Butomus umbellatus L.,Butomaceae,More often than Once per day,20,35,Full sun,37
1361233,Danthonia decumbens (L.) DC.,Poaceae,More often than Every week,0,25,Full sun,53
1361316,Leersia oryzoides (L.) Sw.,Poaceae,More often than Every week,0,35,Full sun,38
1361357,Phalaris coerulescens Desf.,Poaceae,,,,,13
1361507,Oncostema elongata (Parl.) Speta,Caprifoliaceae,,,,,44
1361508,Oncostema peruviana (L.) Speta,Caprifoliaceae,,,,,14
1361524,Elodea canadensis Michx.,Hydrocharitaceae,More often than Every week,5,35,Full sun,36
1361655,Neotinea maculata (Desf.) Stearn,Orchidaceae,More often than Every week,5,32,Full sun,59
1361656,Ophrys apifera Huds.,Orchidaceae,More often than Every 1-2 weeks,10,35,Partial sun,41
1361658,Ophrys bombyliflora Link,Orchidaceae,More often than Every week,15,35,Partial sun,55
1361660,Ophrys fusca Link,Orchidaceae,More often than Every week,10,35,Partial sun,43
1361663,Ophrys lutea Cav.,Orchidaceae,More often than Every week,15,35,Full sun,52
1361666,Ophrys scolopax Cav.,Orchidaceae,More often than Every week,20,38,Partial sun,56
1361668,Ophrys speculum Link,Orchidaceae,More often than Every week,15,35,Partial sun,39
1361672,Ophrys tenthredinifera Willd.,Orchidaceae,More often than Every week,15,35,Partial sun,35
1361704,Groenlandia densa (L.) Fourr.,Liliaceae,More often than Every week,,,Full sun,36
1361745,Myosoton aquaticum (L.) Moench,Chickweed family (Caryophyllaceae),More often than Every week,20,35,Full sun,59
1361759,Cirsium palustre (L.) Scop.,Asteraceae,More often than Every week,20,35,Full sun,41
1361823,Lamium galeobdolon (L.) L.,Lamiaceae,More often than Every week,20,35,Partial sun,54
1361824,Lavandula angustifolia Mill.,Lamiaceae,More often than Every week,5,35,Full sun,54
1361847,Casuarina cunninghamiana Miq.,Casuarinaceae,More often than Every 2-3 weeks,15,38,Full sun,40
1361850,Trifolium rubens L.,Fabaceae,More often than Every week,5,35,Full sun,50
1361891,Falcaria vulgaris Bernh.,Apiaceae,More often than Every week,10,25,Full sun,25
1362024,Hypericum triquetrifolium Turra,Hypericaceae,More often than Twice per week,10,35,Full sun,40
1362064,Wigandia caracasana Kunth,Hydrophyllaceae,,,,,8
1362080,Nymphaea lotus L.,Nymphaeaceae,More often than Every week,20,38,Full sun,56
1362192,Sedum villosum L.,Crassulaceae,More often than Twice per week,20,38,Full sun,56
1362294,Epipactis helleborine (L.) Crantz,Orchidaceae,More often than Every week,0,25,Partial sun,33
1362385,Thesium humifusum DC.,Santalaceae,More often than Every week,,,Full sun,26
1362398,Acacia etbaica Schweinf.,Fabaceae,,,,,44
1362434,Centranthus angustifolius (Mill.) DC.,Caprifoliaceae,More often than Every week,20,35,Full sun,52
1362435,Centranthus lecoqii Jord.,Caprifoliaceae,More often than Every week,20,35,Full sun,42
1362489,Sedum anglicum Huds.,Crassulaceae,More often than Every 2-3 weeks,20,38,Full sun,55
1362490,Sedum rupestre L.,Crassulaceae,More often than Every week,10,35,Full sun,43
1362516,Ophrys insectifera L.,Orchidaceae,More often than Every week,20,38,Partial sun,59
1362582,Freesia refracta (Jacq.) Klatt,Iridaceae,More often than Every week,15,35,Full sun,39
1362834,Diatelia tuberaria (L.) Demoly,Portulacaceae,More often than Every week,20,35,Full sun,42
1362927,Tradescantia pallida (Rose) D.R. Hunt,Commelinaceae,More often than Every 1-2 weeks,20,38,Partial sun,59
1362928,Cenchrus longispinus (Hack.) Fernald,Poaceae,More often than Every week,20,35,Full sun,48
1362954,Schefflera actinophylla (Endl.) Harms,Araliaceae,More often than Every 1-2 weeks,20,38,Partial sun,48
1363016,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Poaceae,More often than Every week,20,41,Full sun,58
1363019,Cenchrus purpureus (Schumach.) Morrone,Poaceae,More often than Every week,15,38,Full sun,51
1363021,Cenchrus setaceus (Forssk.) Morrone,Poaceae,More often than Twice per week,20,38,Full sun,48
1363110,Anemone hortensis L.,Ranunculaceae,More often than Every week,0,32,Full sun,53
1363117,Tradescantia cerinthoides Kunth,Commelinaceae,More often than Every week,20,41,Partial sun,50
1363126,Papaver argemone L.,Papaveraceae,More often than Every week,20,35,Full sun,41
1363127,Papaver hybridum L.,Papaveraceae,More often than Every week,20,35,Full sun,47
1363128,Papaver rhoeas L.,Papaveraceae,More often than Every week,20,35,Full sun,57
1363129,Papaver dubium L.,Papaveraceae,More often than Every week,20,35,Full sun,35
1363130,Papaver somniferum L.,Papaveraceae,More often than Twice per week,20,35,Full sun,51
1363227,Daucus carota L.,Apiaceae,More often than Twice per week,20,35,Full sun,36
1363336,Smilax aspera L.,Smilacaceae,More often than Every 3 weeks,15,38,Full sun,51
1363343,Aizoon canariense L.,Aizoaceae,More often than Every week,15,38,Full sun,48
1363359,Zannichellia palustris L.,Zannichelliaceae,More often than Every week,0,21,Full sun,23
1363451,Secale cereale L.,Poaceae,More often than Every week,20,35,Full sun,39
1363463,Cenchrus ciliaris L.,Poaceae,More often than Every week,20,35,Full sun,56
1363464,Cenchrus echinatus L.,Poaceae,More often than Every week,20,35,Full sun,58
1363489,Phalaris aquatica L.,Poaceae,More often than Every week,0,35,Full sun,42
1363490,Phalaris arundinacea L.,Poaceae,More often than Every week,5,25,Full sun,59
1363491,Phalaris canariensis L.,Poaceae,More often than Every week,20,35,Full sun,52
1363492,Phalaris minor Retz.,Poaceae,More often than Every week,,,Full sun,4
1363493,Phalaris paradoxa L.,Poaceae,More often than Every week,,,Full sun,2
1363613,Sedum hispanicum L.,Crassulaceae,More often than Every 3 weeks,5,35,Full sun,44
1363688,Crotalaria juncea L.,Fabaceae,More often than Every week,20,38,Full sun,49
1363699,Lupinus angustifolius L.,Fabaceae,More often than Every week,20,35,Full sun,37
1363700,Lupinus luteus L.,Fabaceae,More often than Every week,20,35,Full sun,56
1363701,Lupinus pilosus L.,Fabaceae,More often than Every week,20,38,Full sun,56
1363703,Lupinus albus L.,Fabaceae,More often than Every week,20,38,Full sun,51
1363735,Trifolium alexandrinum L.,Fabaceae,More often than Every week,0,35,Full sun,42
1363737,Trifolium dubium Sibth.,Fabaceae,More often than Every week,20,35,Full sun,43
1363738,Trifolium glomeratum L.,Fabaceae,More often than Every week,20,35,Full sun,36
1363739,Trifolium nigrescens Viv.,Fabaceae,More often than Every week,20,38,Full sun,46
1363740,Trifolium repens L.,Fabaceae,More often than Every week,0,35,Full sun,51
1363743,Dalbergia melanoxylon Guill. & Perr.,Fabaceae,,,,,53
1363749,Melilotus indicus (L.) All.,Fabaceae,More often than Every week,20,35,Full sun,47
1363750,Melilotus officinalis (L.) Pall.,Fabaceae,More often than Every week,20,35,Full sun,57
1363764,Acacia dealbata Link,Fabaceae,More often than Every 1-2 weeks,15,38,Full sun,41
1363769,Acacia longifolia (Andrews) Willd.,Fabaceae,More often than Every 1-2 weeks,20,38,Full sun,54
1363770,Acacia mearnsii De Wild.,Fabaceae,More often than Every 2-3 weeks,5,35,Full sun,45
1363772,Acacia pycnantha Benth.,Fabaceae,More often than Every 2 weeks,20,38,Full sun,40
1363778,Acacia retinodes Schltdl.,Fabaceae,More often than Every 2-3 weeks,15,35,Full sun,56
1363871,Barbarea verna (Mill.) Asch.,Brassicaceae,More often than Every week,20,35,Full sun,58
1363872,Barbarea intermedia Boreau,Brassicaceae,More often than Every week,20,35,Full sun,52
1363970,Myosurus minimus L.,Ranunculaceae,More often than Every week,20,38,Full sun,44
1363991,Fragaria vesca L.,Rosaceae,More often than Every week,5,35,Full sun,42
1364000,Duchesnea indica (Jacks.) Focke,Rosaceae,,,,,33
1364099,Centranthus ruber (L.) DC.,Caprifoliaceae,More often than Every week,20,35,Full sun,48
1364112,Guizotia abyssinica (L. f.) Cass.,Asteraceae,More often than Every week,20,35,Full sun,45
